Epoch,State,Count
Epoch,State,Count
Epoch,State,Count
308,Susceptible,19
308,Infectious,54
308,Recovered,25
309,Susceptible,19
309,Infectious,53
309,Recovered,26
310,Susceptible,18
310,Infectious,55
310,Recovered,26
311,Susceptible,20
311,Infectious,53
311,Recovered,25
312,Susceptible,20
312,Infectious,54
312,Recovered,24
313,Susceptible,18
313,Infectious,57
313,Recovered,24
314,Susceptible,17
314,Infectious,56
314,Recovered,25
315,Susceptible,19
315,Infectious,54
315,Recovered,25
316,Susceptible,19
316,Infectious,52
316,Recovered,27
317,Susceptible,19
317,Infectious,54
317,Recovered,26
318,Susceptible,18
318,Infectious,56
318,Recovered,25
319,Susceptible,18
319,Infectious,55
319,Recovered,26
320,Susceptible,19
320,Infectious,55
320,Recovered,25
321,Susceptible,19
321,Infectious,55
321,Recovered,25
322,Susceptible,19
322,Infectious,55
322,Recovered,25
323,Susceptible,18
323,Infectious,56
323,Recovered,25
324,Susceptible,21
324,Infectious,53
324,Recovered,25
325,Susceptible,19
325,Infectious,54
325,Recovered,25
326,Susceptible,19
326,Infectious,55
326,Recovered,24
327,Susceptible,17
327,Infectious,56
327,Recovered,26
328,Susceptible,19
328,Infectious,52
328,Recovered,28
329,Susceptible,20
329,Infectious,53
329,Recovered,26
330,Susceptible,18
330,Infectious,56
330,Recovered,25
331,Susceptible,19
331,Infectious,54
331,Recovered,25
332,Susceptible,20
332,Infectious,54
332,Recovered,25
333,Susceptible,19
333,Infectious,56
333,Recovered,23
334,Susceptible,17
334,Infectious,56
334,Recovered,26
335,Susceptible,20
335,Infectious,54
335,Recovered,25
336,Susceptible,19
336,Infectious,57
336,Recovered,23
337,Susceptible,16
337,Infectious,57
337,Recovered,26
338,Susceptible,17
338,Infectious,56
338,Recovered,26
339,Susceptible,19
339,Infectious,54
339,Recovered,26
340,Susceptible,18
340,Infectious,55
340,Recovered,25
341,Susceptible,18
341,Infectious,54
341,Recovered,26
342,Susceptible,18
342,Infectious,56
342,Recovered,25
343,Susceptible,17
343,Infectious,56
343,Recovered,26
344,Susceptible,18
344,Infectious,56
344,Recovered,25
345,Susceptible,17
345,Infectious,57
345,Recovered,25
346,Susceptible,18
346,Infectious,55
346,Recovered,25
347,Susceptible,17
347,Infectious,55
347,Recovered,26
348,Susceptible,18
348,Infectious,53
348,Recovered,27
349,Susceptible,20
349,Infectious,53
349,Recovered,26
350,Susceptible,20
350,Infectious,53
350,Recovered,25
351,Susceptible,20
351,Infectious,53
351,Recovered,25
352,Susceptible,19
352,Infectious,54
352,Recovered,26
353,Susceptible,19
353,Infectious,55
353,Recovered,25
354,Susceptible,17
354,Infectious,54
354,Recovered,27
355,Susceptible,19
355,Infectious,54
355,Recovered,26
356,Susceptible,20
356,Infectious,54
356,Recovered,25
357,Susceptible,19
357,Infectious,55
357,Recovered,24
358,Susceptible,19
358,Infectious,54
358,Recovered,26
359,Susceptible,19
359,Infectious,53
359,Recovered,26
360,Susceptible,20
360,Infectious,54
360,Recovered,25
361,Susceptible,19
361,Infectious,54
361,Recovered,25
362,Susceptible,21
362,Infectious,52
362,Recovered,25
363,Susceptible,20
363,Infectious,54
363,Recovered,24
364,Susceptible,20
364,Infectious,54
364,Recovered,25
365,Susceptible,18
365,Infectious,56
365,Recovered,24
366,Susceptible,18
366,Infectious,54
366,Recovered,27
367,Susceptible,19
367,Infectious,54
367,Recovered,26
368,Susceptible,19
368,Infectious,54
368,Recovered,25
369,Susceptible,18
369,Infectious,55
369,Recovered,25
370,Susceptible,19
370,Infectious,54
370,Recovered,26
371,Susceptible,18
371,Infectious,55
371,Recovered,25
372,Susceptible,19
372,Infectious,55
372,Recovered,25
373,Susceptible,18
373,Infectious,55
373,Recovered,26
374,Susceptible,20
374,Infectious,53
374,Recovered,26
375,Susceptible,20
375,Infectious,53
375,Recovered,26
376,Susceptible,20
376,Infectious,54
376,Recovered,25
377,Susceptible,19
377,Infectious,54
377,Recovered,25
378,Susceptible,19
378,Infectious,55
378,Recovered,25
379,Susceptible,19
379,Infectious,55
379,Recovered,25
380,Susceptible,20
380,Infectious,52
380,Recovered,27
381,Susceptible,21
381,Infectious,52
381,Recovered,25
382,Susceptible,20
382,Infectious,54
382,Recovered,24
383,Susceptible,20
383,Infectious,55
383,Recovered,24
384,Susceptible,18
384,Infectious,56
384,Recovered,24
385,Susceptible,18
385,Infectious,57
385,Recovered,24
386,Susceptible,18
386,Infectious,54
386,Recovered,27
387,Susceptible,20
387,Infectious,52
387,Recovered,27
388,Susceptible,22
388,Infectious,51
388,Recovered,25
389,Susceptible,22
389,Infectious,52
389,Recovered,25
390,Susceptible,21
390,Infectious,53
390,Recovered,24
391,Susceptible,19
391,Infectious,56
391,Recovered,23
392,Susceptible,16
392,Infectious,57
392,Recovered,25
393,Susceptible,18
393,Infectious,57
393,Recovered,24
394,Susceptible,17
394,Infectious,56
394,Recovered,26
